LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPastPassive,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
live_1,verb,vivono,vivono,vivono,vivono,TransitiveFrame,range,domain,1,dbo:ethnicGroup,dbo:EthnicGroup,dbo:Country,masculine,grupo étnico,grupos étnicos,masculine,paese,paesi,in
express,verb,esprime,esprime,esprime,esprime,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,masculine,colore,colore,-,-,-,da
compose,verb,comporre la colonna sonora,comporre la colonna sonora,ha composto la colonna sonora,ha composto la colonna sonora,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,masculine_il,film,films,feminine,persona,personas,da
producono,verb,producono,producono,producono,producono,TransitiveFrame,range,domain,1,dbo:product,dbo:Company,dbo:Ship,feminine_la,compagnia,compagnie,feminine,Nave,Nave,da
inspirar_1,verb,inspirato,inspirato,ha inspirato,ha inspirato,TransitiveFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,feminine_la,persona,persone,feminine_la,persona,persone,da
Develop_1,verb,sviluppare,sviluppa,ha sviluppato,è stato sviluppato,TransitiveFrame,domain,range,1,dbo:product,dbo:Company,dbo:Software,,compagnia,compagnie,,softwaree,software,da
Develop_2,verb,sviluppare,sviluppa,ha sviluppato,è stato sviluppato,TransitiveFrame,domain,range,1,dbo:developer,dbo:Work,dbo:Agent,,opera,opere,,agente,agenti,da
marry,verb,sposare,sposa,ha sposato,è stato sposato,TransitiveFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,,persona,persone,,persona,persone,da
paint,verb,dipingere,dipinge,ha dipinto,è stato dipinto,TransitiveFrame,range,domain,1,dbp:artist,dbo:Work,dbo:Person,,opera,opere,,persona,persone,da
exhibit,verb,mostrare,mostra,ha mostrato,è mostrato,TransitiveFrame,range,domain,1,dbo:museum,dbo:Artwork,dbo: Museum,,opera,opere,,museo,musei,da
discover,verb,scoprire,scopre,ha scoperto,è stato scoperto,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Planet,dbo:Person,,pianeta,pianeti,,persona,persone,da
cross,verb,attraversare,attraversa,ha attraversato,è attraversato,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,,ponte,pont,,fiume,fiumi,da
win,verb,vincere,vince,ha vinto,è stato vinto,TransitiveFrame,range,domain,1,dbo:award,dbo:Scientist,dbo:Award,,scienziato,scienziati,,premio,premi,da
create_1,verb,creare,creatii,ha creato,è stato creato,TransitiveFrame,range,domain,1,dbo:creator,dbo:TelevisionShow,dbo:Agent,,show televisivo,show televisivi,,agente,agenti,da
write_1,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,1,dbo:writer,dbo:Song,dbo:Person,,canzone,canzoni,,persona,persone,da
write_2,verb,scrivere,scrivere,ha scritto,è stato scritto,TransitiveFrame,range,domain,2,dbo:writer,dbo:Book,dbo:Person,,libro,libri,,persona,persone,da
write_3,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,3,dbo:writer,dbo:MusicalWork,dbo:Person,,opera musicale,opere musicali,,persona,persone,da
write_4,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,4,dbo:author,dbo:WrittenWork,dbo:Person,,persona,persone,,opera scritta,opere scritte,da
write_5,verb,scrivere,scrive,ha scritto,è stata scritta,TransitiveFrame,range,domain,5,dbo:writer,dbo:Work,dbo:Person,,opera,opere,,persona,persone,da
starr,verb,recitare in,recita in,ha recitato in,è recitato,TransitiveFrame,range,domain,5,dbo:starring,dbo:Film,dbo:Actor,,film,films,,attore,attori,da
operate_1,verb,operare,opera,ha operato,è operato,TransitiveFrame,domain,range,1,dbp:operator,dbo:LaunchPad,dbo:Organisation,,piattaforma di lancio,piattaforme di lancio,,organizzazione,organizzazioni,da
play_1,verb,interpretare,interpreta,ha interpretato,è interpretato,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,,personaggio fittizio,personaggi fittizi,,persona,persone,da
play_2,verb,interpretare,interpreta,ha interpretato,è interpretata,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,,opera,opere,,attore,attori,da
publish_1,verb,pubblicare,pubblica,ha pubblicato,è pubblicato,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,,libro,libri,,agente,agenti,da
publish_2,verb,pubblicare,pubblica,ha pubblicato,è pubblicato,TransitiveFrame,range,domain,2,dbo:publisher,dbo:Publisher,dbo:Agent,,videogioco,videogiochi,,agente,agenti,da
direct_1,verb,dirigere,dirige,ha diretto,è stato diretto,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,,film,film,,persona,persone,da
serve_1,verb,servire,serve,ha servito,è servito,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,,compagnia aerea,compagnie aeree,,aeroporto,aeroporti,da
speak_1,verb,parlare,parla,ha parlato,è parlato,TransitiveFrame,range,domain,1,dbo:language,dbo:Language,dbo:Country,,lingua,lingue,,paese,paesi,da
design_1,verb,progettare,progetta,ha progettato,è stato progettato,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,,struttura ,struttura,,architetto,architetti,da
design_2,verb,progettare,progetta,ha progettato,è stato progettato,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,,edificio,edifici,,persona,persone,da
direct,verb,dirigere,dirige,ha diretto,,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,,,,,,,da
design,verb,progettare,progetta,ha progettato,,TransitiveFrame,range,domain,1,dbo:architect,dbo:Bridge,dbo:Architect,,,,,,,da
cross,verb,attraversare,attraversa,ha attraversato,,TransitiveFrame,range,domain,1,dbo:crosses,dbo:Bridge,dbo:River,,,,,,,da
discover,verb,scoprire,scopre,ha scoperto,,TransitiveFrame,range,domain,1,dbo:discoverer,dbo:Place,dbo:Person,,,,,,,da
produce,verb,produrre,produce,ha prodotto,,TransitiveFrame,range,domain,1,dbo:producer,dbo:Film,dbo:Person,,,,,,,da
publish,verb,pubblicare,pubblica,ha pubblicato,,TransitiveFrame,range,domain,1,dbo:publisher,dbo:Book,dbo:Agent,,,,,,,da
